10.152.38.253,5,2015-12-13 17:47:08,2015-12-13 17:46:23,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:47:13,2015-12-13 17:46:28,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:47:13,2015-12-13 17:46:29,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:47:13,2015-12-13 17:46:30,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:47:13,2015-12-13 17:46:30,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:47:22,2015-12-13 17:46:37,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:47:22,2015-12-13 17:46:37,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:47:22,2015-12-13 17:46:39,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:50:03,2015-12-13 17:49:18,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:50:03,2015-12-13 17:49:20,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:50:03,2015-12-13 17:49:20,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:50:09,2015-12-13 17:49:23,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:50:09,2015-12-13 17:49:23,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to up.
